Climate_Factor,Impact_Finding,Key_Data_Result,Year,Source_(APA_Format)_and_Link,Section,Subsection,Pest_Type,Climate-Related_Risk,Yield_Loss_Potential,Region_Affected,Input_Category,Cost_Trend,Specific_Data,Key_Data_Result_numeric,Yield_Loss_Potential_numeric,Cost_Trend_numeric,Specific_Data_numeric,Dataset_Source,Technology_Innovation,Description,Implementation_Status,Program_Support_Type,Details,Financial_Material_Benefit,Training_Capacity_Building_Program,Focus_Area,Implementer,Environmental_Cost_Factor,Description_Data,Current_Status,Source_APA_Format_and_Link,Resource_Type,Efficiency_Indicator,Measurement_Approach,Environmental_Performance_Indicator,Indicator_Definition,Current_Status_Target,Technology_Initiative,Green_Accounting_Integration,Status,Program_Policy,Green_Accounting_Relevance,Environmental_Benefit,Green_Accounting_Environmental_Focus,Sustainability_Objective,Description_Data_numeric,Reference,URL,Category,Type,Row_Content,Raw_Data
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Agriculture. (2024, June 23). DA's RCEF program boosts rice production and farmers' livelihoods. Philippine Information Agency. Retrieved from",https://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/,s://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/ RCEF PROGRAM DETAILS,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Agriculture. (2025, January 21). DA aims for record rice harvest despite rising production costs. Clippings for January 22, 2025. Retrieved from",https://www.da.gov.ph/wp-content/uploads/2025/01/Clippings-for-January-22-2025.pdf,s://www.da.gov.ph/wp-content/uploads/2025/01/Clippings-for-January-22-2025.pdf PRODUCTION DECLINE 2024,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Department of Budget and Management. (2024). DBM releases P455.58M for Rice Competitiveness Enhancement Fund. Philippine News Agency. Retrieved from,https://www.pna.gov.ph/articles/1218736,s://www.pna.gov.ph/articles/1218736 RCEF BUDGET RELEASE,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Department of Finance - Tax Academy. (2024). Determinants of rice prices in the Philippines. Retrieved from,https://doftaxacademy.gov.ph/wp-content/uploads/2024/04/Rice-Research-2-20-2024.pdf,s://doftaxacademy.gov.ph/wp-content/uploads/2024/04/Rice-Research-2-20-2024.pdf PRODUCTION COSTS & PRICES,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Konar, M., Bhattacharya, S., & Subramanian, R. (2018). Climate variability impacts on rice production in the Philippines. PLOS ONE, 13(8), e0201316. Retrieved from",https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/,s://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/ CLIMATE VARIABILITY ENSO,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Integrated Climate Change Database (NICCDIES). (2017). Agriculture emissions and mitigation. Climate Change Commission. Retrieved from,https://niccdies.climate.gov.ph/mitigation/agriculture,s://niccdies.climate.gov.ph/mitigation/agriculture AGRICULTURE EMISSIONS,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Philippine Information Service. (2024, May 7). 2024 rice production and price trends, decreasing imports and initiatives to improve yield. Retrieved from",https://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/,s://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/ PRODUCTION ESTIMATES 2024,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Philippine Rice Research Institute. (2025, April 13). RCEF extension to 2031 brings enhanced support for rice farmers. PhilRice Official Website. Retrieved from",https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,s://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/ RCEF EXTENSION 2031,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippine Rice Research Institute. (2024). Costs and returns of palay production. Ricelytics Database. Retrieved from,https://ricelytics.philrice.gov.ph/staging/costs_and_returns,s://ricelytics.philrice.gov.ph/staging/costs_and_returns COSTS & RETURNS DATABASE,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippine Statistics Authority. (2024). Average costs and returns of palay production in all ecosystems. Retrieved from,https://ricelytics.philrice.gov.ph/staging/costs_and_returns,s://ricelytics.philrice.gov.ph/staging/costs_and_returns PSA COSTS & RETURNS 2024,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAGASA. (2025). Monthly Philippine agro-climatic review and outlook. Department of Science and Technology. Retrieved from,https://www.pagasa.dost.gov.ph/agri-weather/monthly-agroclimatic-review-and-outlook,s://www.pagasa.dost.gov.ph/agri-weather/monthly-agroclimatic-review-and-outlook CLIMATE DATA MONTHLY,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAGASA. (2025). Impact assessment for agriculture. Department of Science and Technology. Retrieved from,https://www.pagasa.dost.gov.ph/agri-weather/impact-assessment-for-agriculture,s://www.pagasa.dost.gov.ph/agri-weather/impact-assessment-for-agriculture CLIMATE IMPACTS AGRICULTURE,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yoshida, S., & Cruz, F. R. (2000). Agronomic impacts of climate variability on rice production in the Philippines. Agricultural Systems, 66(3), 177-196. Retrieved from",https://www.sciencedirect.com/science/article/abs/pii/S016788090000222X,s://www.sciencedirect.com/science/article/abs/pii/S016788090000222X CLIMATE VARIABILITY HISTORICAL,,,
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Region Major Provinces Key Characteristics Source,"['Region', 'Major Provinces', 'Key Characteristics', 'Source']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Study Population,"Region III (Central Luzon) Nueva Ecija, Tarlac, Pampanga, Bulacan Major irrigation infrastructure Philippine Statistics Authority","['Region III (Central Luzon)', 'Nueva Ecija, Tarlac, Pampanga, Bulacan', 'Major irrigation infrastructure', 'Philippine Statistics Authority']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Study Population,"Region II (Cagayan Valley) Isabela, Cagayan Large agricultural area Philippine Statistics Authority","['Region II (Cagayan Valley)', 'Isabela, Cagayan', 'Large agricultural area', 'Philippine Statistics Authority']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Study Population,"Region VI (Western Visayas) Iloilo, Negros Occidental Significant production volume Philippine Statistics Authority","['Region VI (Western Visayas)', 'Iloilo, Negros Occidental', 'Significant production volume', 'Philippine Statistics Authority']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Study Population,"Region I (Ilocos Region) Pangasinan, Ilocos Norte Important production area Philippine Statistics Authority","['Region I (Ilocos Region)', 'Pangasinan, Ilocos Norte', 'Important production area', 'Philippine Statistics Authority']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Study Population,Region V (Bicol Region) Camarines Sur Distinct climate patterns Philippine Statistics Authority,"['Region V (Bicol Region)', 'Camarines Sur', 'Distinct climate patterns', 'Philippine Statistics Authority']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Source Name Authority/Organization Database/Access Point Data Type Years,"['Source Name', 'Authority/Organization', 'Database/Access Point', 'Data Type', 'Years']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Source,"PSA Production Survey Philippine Statistics Authority Survey on Costs and Returns of Palay Production costs, yields, prices 2015-2024","['PSA Production Survey', 'Philippine Statistics Authority', 'Survey on Costs and Returns of Palay', 'Production costs, yields, prices', '2015-2024']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Source,"PhilRice RBFHS Philippine Rice Research Institute Rice-Based Farm Household Survey Technology, farming practices 2015-2024","['PhilRice RBFHS', 'Philippine Rice Research Institute', 'Rice-Based Farm Household Survey', 'Technology, farming practices', '2015-2024']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Source,"DA Statistics Department of Agriculture DA Online Portals & PIA Releases Production, policies, programs 2015-2025","['DA Statistics', 'Department of Agriculture', 'DA Online Portals & PIA Releases', 'Production, policies, programs', '2015-2025']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Source,"PAGASA Climate Data Philippine Atmospheric Services PAGASA Agri-Weather Monitoring Climate, rainfall, temperature 2015-2025","['PAGASA Climate Data', 'Philippine Atmospheric Services', 'PAGASA Agri-Weather Monitoring', 'Climate, rainfall, temperature', '2015-2025']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Source,"DENR/NICCDIES Dept. Environment & Natural Resources DENR Monitoring & NICCDIES Database GHG emissions, environmental costs 2015-2024","['DENR/NICCDIES', 'Dept. Environment & Natural Resources', 'DENR Monitoring & NICCDIES Database', 'GHG emissions, environmental costs', '2015-2024']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Source,"IRRI Research International Rice Research Institute IRRI News & Publications Pest management, climate research 2024-2025","['IRRI Research', 'International Rice Research Institute', 'IRRI News & Publications', 'Pest management, climate research', '2024-2025']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,"Climate Transparency Climate Transparency Network Climate Performance Reports Emissions, climate targets 2015-2020","['Climate Transparency', 'Climate Transparency Network', 'Climate Performance Reports', 'Emissions, climate targets', '2015-2020']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Criterion Method,"['Criterion', 'Method']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Source,"Source Credibility Verified government agencies (PSA, DA, PAGASA, DENR) and international institutions (IRRI)","['Source Credibility', 'Verified government agencies (PSA, DA, PAGASA, DENR) and international institutions (IRRI)']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Source,"Cross-Verification Production and climate data compared across PSA, PhilRice, and DA sources","['Cross-Verification', 'Production and climate data compared across PSA, PhilRice, and DA sources']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Temporal Alignment Data aligned to 2015-2024 period with 2025 updates where available,"['Temporal Alignment', 'Data aligned to 2015-2024 period with 2025 updates where available']"
,,,,,,,,,,,,,,,,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Accessibility All sources publicly accessible via government websites or open databases,"['Accessibility', 'All sources publicly accessible via government websites or open databases']"
